course_name,url,provider,german_level,duration,price,location,start_info,schedule,phone,requirements,completion,registration,appointment_url,booking_url,lat,lon
BAMF Integration Course (A1-B1),https://www.mitteldeutsches-institut.de/en/integration-course-BAMF-Berlin/,MIQR Berlin - Trachenbergring,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","Trachenbergring 93-93a, 12249 Berlin",After placement test,"4 UE/day, morning or afternoon",030 63412883-0,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.52,13.405
BAMF Integration Course (A1-B1),https://www.mitteldeutsches-institut.de/en/integration-course-BAMF-Berlin/,MIQR Berlin - Prenzlauer Promenade,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","Prenzlauer Promenade, Berlin",After placement test,"4 UE/day, morning or afternoon",030 2592448-0,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.52,13.405
BAMF Integration Course (A1-B1),https://www.iik-berlin.de/en/german/,IIK Berlin,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)",Berlin (multiple locations),After placement test,"4 UE/day, morning or afternoon",See website,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.52,13.405
BAMF Integration Course (A1-B1),https://www.inlingua-berlin.de/en/,inlingua Berlin,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)",Berlin,After placement test,"4 UE/day, morning or afternoon",+49 30 88471190,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.52,13.405
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.515,13.454
Intensive - A2,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A2,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.515,13.454
Intensive - B1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,B1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.515,13.454
Intensive - B2,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,B2,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.515,13.454
Intensive - C1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,C1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.515,13.454
Intensive - C2,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,C2,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.515,13.454
Evening - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,Ongoing,€220/month,"Friedrichshain, Berlin",Check website or contact school,"2x per week, evenings",See website,,,,,,52.515,13.454
Evening - A2,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A2,Ongoing,€220/month,"Friedrichshain, Berlin",Check website or contact school,"2x per week, evenings",See website,,,,,,52.515,13.454
Evening - B1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,B1,Ongoing,€220/month,"Friedrichshain, Berlin",Check website or contact school,"2x per week, evenings",See website,,,,,,52.515,13.454
Evening - B2,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,B2,Ongoing,€220/month,"Friedrichshain, Berlin",Check website or contact school,"2x per week, evenings",See website,,,,,,52.515,13.454
Evening - C1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,C1,Ongoing,€220/month,"Friedrichshain, Berlin",Check website or contact school,"2x per week, evenings",See website,,,,,,52.515,13.454
Evening - C2,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,C2,Ongoing,€220/month,"Friedrichshain, Berlin",Check website or contact school,"2x per week, evenings",See website,,,,,,52.515,13.454
Intensive 20 - A1,https://www.gls-german-courses.de,GLS Language School Berlin,A1,Flexible,€200/week (1-9w),Berlin Campus,Check website or contact school,20 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Intensive 20 - A2,https://www.gls-german-courses.de,GLS Language School Berlin,A2,Flexible,€200/week (1-9w),Berlin Campus,Check website or contact school,20 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Intensive 20 - B1,https://www.gls-german-courses.de,GLS Language School Berlin,B1,Flexible,€200/week (1-9w),Berlin Campus,Check website or contact school,20 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Intensive 20 - B2,https://www.gls-german-courses.de,GLS Language School Berlin,B2,Flexible,€200/week (1-9w),Berlin Campus,Check website or contact school,20 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Intensive 20 - C1,https://www.gls-german-courses.de,GLS Language School Berlin,C1,Flexible,€200/week (1-9w),Berlin Campus,Check website or contact school,20 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Intensive 20 - C2,https://www.gls-german-courses.de,GLS Language School Berlin,C2,Flexible,€200/week (1-9w),Berlin Campus,Check website or contact school,20 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Super Intensive 30 - A1,https://www.gls-german-courses.de,GLS Language School Berlin,A1,Flexible,€350/week,Berlin Campus,Check website or contact school,30 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Super Intensive 30 - A2,https://www.gls-german-courses.de,GLS Language School Berlin,A2,Flexible,€350/week,Berlin Campus,Check website or contact school,30 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Super Intensive 30 - B1,https://www.gls-german-courses.de,GLS Language School Berlin,B1,Flexible,€350/week,Berlin Campus,Check website or contact school,30 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Super Intensive 30 - B2,https://www.gls-german-courses.de,GLS Language School Berlin,B2,Flexible,€350/week,Berlin Campus,Check website or contact school,30 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Super Intensive 30 - C1,https://www.gls-german-courses.de,GLS Language School Berlin,C1,Flexible,€350/week,Berlin Campus,Check website or contact school,30 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Super Intensive 30 - C2,https://www.gls-german-courses.de,GLS Language School Berlin,C2,Flexible,€350/week,Berlin Campus,Check website or contact school,30 lessons/week,+49 30 780089-12,,,,,,52.52,13.405
Intensive - A1,http://www.deutschakademie.de,DeutschAkademie Berlin,A1,4 weeks,€235-280,"Bayreuther Str. 8, 10787 Berlin",Check website or contact school,3 hours/day,030 26947920,,,,,,52.52,13.405
Intensive - A2,http://www.deutschakademie.de,DeutschAkademie Berlin,A2,4 weeks,€235-280,"Bayreuther Str. 8, 10787 Berlin",Check website or contact school,3 hours/day,030 26947920,,,,,,52.52,13.405
Intensive - B1,http://www.deutschakademie.de,DeutschAkademie Berlin,B1,4 weeks,€235-280,"Bayreuther Str. 8, 10787 Berlin",Check website or contact school,3 hours/day,030 26947920,,,,,,52.52,13.405
Intensive - B2,http://www.deutschakademie.de,DeutschAkademie Berlin,B2,4 weeks,€235-280,"Bayreuther Str. 8, 10787 Berlin",Check website or contact school,3 hours/day,030 26947920,,,,,,52.52,13.405
Intensive - C1,http://www.deutschakademie.de,DeutschAkademie Berlin,C1,4 weeks,€235-280,"Bayreuther Str. 8, 10787 Berlin",Check website or contact school,3 hours/day,030 26947920,,,,,,52.52,13.405
Intensive - C2,http://www.deutschakademie.de,DeutschAkademie Berlin,C2,4 weeks,€235-280,"Bayreuther Str. 8, 10787 Berlin",Check website or contact school,3 hours/day,030 26947920,,,,,,52.52,13.405
Intensive - A1,https://kapitel-zwei.de/en/,Kapitel Zwei Berlin,A1,4 weeks,€280,Berlin,Check website or contact school,"16 hours/week, Mon-Fri",See website,,,,,,52.52,13.405
Intensive - A2,https://kapitel-zwei.de/en/,Kapitel Zwei Berlin,A2,4 weeks,€280,Berlin,Check website or contact school,"16 hours/week, Mon-Fri",See website,,,,,,52.52,13.405
Intensive - B1,https://kapitel-zwei.de/en/,Kapitel Zwei Berlin,B1,4 weeks,€280,Berlin,Check website or contact school,"16 hours/week, Mon-Fri",See website,,,,,,52.52,13.405
Intensive - B2,https://kapitel-zwei.de/en/,Kapitel Zwei Berlin,B2,4 weeks,€280,Berlin,Check website or contact school,"16 hours/week, Mon-Fri",See website,,,,,,52.52,13.405
Intensive - C1,https://kapitel-zwei.de/en/,Kapitel Zwei Berlin,C1,4 weeks,€280,Berlin,Check website or contact school,"16 hours/week, Mon-Fri",See website,,,,,,52.52,13.405
Intensive - C2,https://kapitel-zwei.de/en/,Kapitel Zwei Berlin,C2,4 weeks,€280,Berlin,Check website or contact school,"16 hours/week, Mon-Fri",See website,,,,,,52.52,13.405
Intensive - A1,https://www.die-deutschule.de/en,die deutSCHule,A1,4 weeks,See website,Berlin,Check website or contact school,"Tue-Fri, 16 hours/week",See website,,,,,,52.52,13.405
Intensive - A2,https://www.die-deutschule.de/en,die deutSCHule,A2,4 weeks,See website,Berlin,Check website or contact school,"Tue-Fri, 16 hours/week",See website,,,,,,52.52,13.405
Intensive - B1,https://www.die-deutschule.de/en,die deutSCHule,B1,4 weeks,See website,Berlin,Check website or contact school,"Tue-Fri, 16 hours/week",See website,,,,,,52.52,13.405
Intensive - B2,https://www.die-deutschule.de/en,die deutSCHule,B2,4 weeks,See website,Berlin,Check website or contact school,"Tue-Fri, 16 hours/week",See website,,,,,,52.52,13.405
Intensive - C1,https://www.die-deutschule.de/en,die deutSCHule,C1,4 weeks,See website,Berlin,Check website or contact school,"Tue-Fri, 16 hours/week",See website,,,,,,52.52,13.405
Intensive - C2,https://www.die-deutschule.de/en,die deutSCHule,C2,4 weeks,See website,Berlin,Check website or contact school,"Tue-Fri, 16 hours/week",See website,,,,,,52.52,13.405
Intensive - A1,https://www.humboldt-institut.org/en/german-courses/adults/,Humboldt-Institut Berlin,A1,Flexible,Premium pricing,Berlin-Mitte,Check website or contact school,30 lessons/week with accommodation,See website,,,,,,52.52,13.409
Intensive - A2,https://www.humboldt-institut.org/en/german-courses/adults/,Humboldt-Institut Berlin,A2,Flexible,Premium pricing,Berlin-Mitte,Check website or contact school,30 lessons/week with accommodation,See website,,,,,,52.52,13.409
Intensive - B1,https://www.humboldt-institut.org/en/german-courses/adults/,Humboldt-Institut Berlin,B1,Flexible,Premium pricing,Berlin-Mitte,Check website or contact school,30 lessons/week with accommodation,See website,,,,,,52.52,13.409
