course_name,url,provider,german_level,duration,price,location,start_info,schedule,phone,requirements,completion,registration,appointment_url,booking_url,lat,lon,lat_prev,lon_prev,location_refined,geo_source,geocode_confidence
BAMF Integration Course (A1-B1),https://www.mitteldeutsches-institut.de/en/integration-course-BAMF-Berlin/,MIQR Berlin - Trachenbergring,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","Trachenbergring 93-93a, 12249 Berlin",After placement test,"4 UE/day, morning or afternoon",030 63412883-0,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.4306774000,13.3677821000,52.5200000000,13.4050000000,"Trachenbergring 93-93a, 12249 Berlin, Berlin, Germany",geocode:nominatim,medium
BAMF Integration Course (A1-B1),https://www.mitteldeutsches-institut.de/en/integration-course-BAMF-Berlin/,MIQR Berlin - Prenzlauer Promenade,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","Prenzlauer Promenade, Berlin",After placement test,"4 UE/day, morning or afternoon",030 2592448-0,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.5806791000,13.4292704000,52.5200000000,13.4050000000,"Prenzlauer Promenade, Berlin, Berlin, Germany",geocode:nominatim,medium
BAMF Integration Course (A1-B1),https://www.iik-berlin.de/en/german/,IIK Berlin,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)",Berlin (multiple locations),After placement test,"4 UE/day, morning or afternoon",See website,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin (multiple locations), Berlin, Germany",geocode:failed,low
BAMF Integration Course (A1-B1),https://www.inlingua-berlin.de/en/,inlingua Berlin,A1 to B1,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)",Berlin,After placement test,"4 UE/day, morning or afternoon",+49 30 88471190,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,52.5173885000,13.3951309000,52.5200000000,13.4050000000,"Berlin, Germany",geocode:nominatim,medium
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.5122154000,13.4502904000,52.5150000000,13.4540000000,"Friedrichshain, Berlin, Berlin, Germany",geocode:nominatim,medium
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.5122154000,13.4502904000,52.5150000000,13.4540000000,"Friedrichshain, Berlin, Berlin, Germany",geocode:nominatim,medium
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.5122154000,13.4502904000,52.5150000000,13.4540000000,"Friedrichshain, Berlin, Berlin, Germany",geocode:nominatim,medium
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.5122154000,13.4502904000,52.5150000000,13.4540000000,"Friedrichshain, Berlin, Berlin, Germany",geocode:nominatim,medium
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.5122154000,13.4502904000,52.5150000000,13.4540000000,"Friedrichshain, Berlin, Berlin, Germany",geocode:nominatim,medium
Intensive - A1,https://www.sprachenatelier-berlin.de/en/,Sprachenatelier Berlin,A1,4 weeks,€280,"Friedrichshain, Berlin",Check website or contact school,"Mon-Thu, 16-20 lessons/week",See website,,,,,,52.5122154000,13.4502904000,52.5150000000,13.4540000000,"Friedrichshain, Berlin, Berlin, Germany",geocode:nominatim,medium
