title,job_url_direct,company,company_industry,location,job_type,id,site,job_url,date_posted,is_remote,company_url_direct,lat,lon,_no_link_,lat_prev,lon_prev,location_refined,geo_source,geocode_confidence
"Senior Data Scientist (Consumer, Global Search)",https://jobs.smartrecruiters.com/DeliveryHero/744000089029185-senior-data-scientist-consumer-global-search-,Delivery Hero,Internet And Software,"Berlin, BE, DE",fulltime,in-fb61a57ce01e7941,indeed,https://de.indeed.com/viewjob?jk=fb61a57ce01e7941,2025-10-21,False,https://bit.ly/3bYJHPP,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Werkstudent (w/m/d) Data Analyst in der Grobplanung,https://jobs.siemens-energy.com/Jobs/FolderDetail?folderId=283517,Siemens Energy,,"Berlin, BE, DE",parttime,in-399a2fa57ce9a458,indeed,https://de.indeed.com/viewjob?jk=399a2fa57ce9a458,2025-10-21,False,https://www.siemens-energy.com/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
(Senior) Frontend Engineer (d/f/m),https://marketplaces.wd3.myworkdayjobs.com/en-US/External_Careers/job/Berlin/XMLNAME--Senior--Frontend-Engineer--d-f-m-_JR009936-1,Adevinta,,"Berlin, BE, DE",fulltime,in-0e53b4d2bd9b618b,indeed,https://de.indeed.com/viewjob?jk=0e53b4d2bd9b618b,2025-10-21,True,https://www.adevinta.com/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Data & AI Consultant (f/m/d),https://jobs.eon.com/en/job/Senior-Data-%26-AI-Consultant--f-m-d-?id=236705&utm_source=Indeed&utm_medium=jobboard,E.ON,,"Berlin, BE, DE",fulltime,in-1979fa1c7b038a67,indeed,https://de.indeed.com/viewjob?jk=1979fa1c7b038a67,2025-10-21,False,http://www.eon-career.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Analytics Lead, Operations",https://www.sumup.com/careers/positions//berlin-germany/data-analytics/analytics-lead-operations/7621291002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_2%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions,SumUp,,"Berlin, BE, DE",,in-a7b555a28cd751ae,indeed,https://de.indeed.com/viewjob?jk=a7b555a28cd751ae,2025-10-20,False,https://www.sumup.com/careers/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Backend Engineer (Lending),https://www.sumup.com/careers/positions//berlin-germany/engineering/backend-engineer-lending/8112137002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_2%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions,SumUp,,"Berlin, BE, DE",,in-e2855a15ce0a99cd,indeed,https://de.indeed.com/viewjob?jk=e2855a15ce0a99cd,2025-10-20,False,https://www.sumup.com/careers/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Fleet Performance Analyst,https://grnh.se/2g4xzwg61us,wolt,Transport And Freight,"Berlin, BE, DE",,in-1013a7a176edf9df,indeed,https://de.indeed.com/viewjob?jk=1013a7a176edf9df,2025-10-20,False,https://www.wolt.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Product Analyst (m/f/d),https://app.screenloop.com/careers/formelskin/job_posts/5174?tab=overview,FORMEL Skin,,"Berlin, BE, DE",fulltime,in-74c52446e5d2b7a3,indeed,https://de.indeed.com/viewjob?jk=74c52446e5d2b7a3,2025-10-20,True,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Head of Data,https://jobs.ashbyhq.com/n8n/0c78f102-f55d-449a-b202-05ca0a606cd9?utm_source=3ZqYBLJ41R,n8n,,"Berlin, BE, DE",fulltime,in-afcce0beec59b20d,indeed,https://de.indeed.com/viewjob?jk=afcce0beec59b20d,2025-10-17,True,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Data Analyst (m/f/d),https://t.gohiring.com/h/580662e2f3992e21bcb197696ba0f3231c549a0ce6f3fdb35a975e422c4b072a?source=Indeed,7NXT,,"Berlin-Kreuzberg, BE, DE",fulltime,in-168d7bbc312b587a,indeed,https://de.indeed.com/viewjob?jk=168d7bbc312b587a,2025-10-17,True,,52.4880037000,13.4089223000,,52.4980000000,13.4030000000,"Berlin-Kreuzberg, BE, DE, Berlin, Germany",geocode:nominatim,medium
