"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","is_remote","company_industry","company_url_direct"
"in-fb61a57ce01e7941","indeed","https://de.indeed.com/viewjob?jk=fb61a57ce01e7941","https://jobs.smartrecruiters.com/DeliveryHero/744000089029185-senior-data-scientist-consumer-global-search-","Senior Data Scientist (Consumer, Global Search)","Delivery Hero","Berlin, BE, DE","2025-10-21","fulltime",False,"Internet And Software","https://bit.ly/3bYJHPP"
"in-399a2fa57ce9a458","indeed","https://de.indeed.com/viewjob?jk=399a2fa57ce9a458","https://jobs.siemens-energy.com/Jobs/FolderDetail?folderId=283517","Werkstudent (w/m/d) Data Analyst in der Grobplanung","Siemens Energy","Berlin, BE, DE","2025-10-21","parttime",False,"","https://www.siemens-energy.com/"
"in-0e53b4d2bd9b618b","indeed","https://de.indeed.com/viewjob?jk=0e53b4d2bd9b618b","https://marketplaces.wd3.myworkdayjobs.com/en-US/External_Careers/job/Berlin/XMLNAME--Senior--Frontend-Engineer--d-f-m-_JR009936-1","(Senior) Frontend Engineer (d/f/m)","Adevinta","Berlin, BE, DE","2025-10-21","fulltime",True,"","https://www.adevinta.com/"
"in-1979fa1c7b038a67","indeed","https://de.indeed.com/viewjob?jk=1979fa1c7b038a67","https://jobs.eon.com/en/job/Senior-Data-%26-AI-Consultant--f-m-d-?id=236705&utm_source=Indeed&utm_medium=jobboard","Senior Data & AI Consultant (f/m/d)","E.ON","Berlin, BE, DE","2025-10-21","fulltime",False,"","http://www.eon-career.com"
"in-a7b555a28cd751ae","indeed","https://de.indeed.com/viewjob?jk=a7b555a28cd751ae","https://www.sumup.com/careers/positions//berlin-germany/data-analytics/analytics-lead-operations/7621291002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_2%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions","Analytics Lead, Operations","SumUp","Berlin, BE, DE","2025-10-20","",False,"","https://www.sumup.com/careers/"
"in-e2855a15ce0a99cd","indeed","https://de.indeed.com/viewjob?jk=e2855a15ce0a99cd","https://www.sumup.com/careers/positions//berlin-germany/engineering/backend-engineer-lending/8112137002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_2%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions","Backend Engineer (Lending)","SumUp","Berlin, BE, DE","2025-10-20","",False,"","https://www.sumup.com/careers/"
"in-1013a7a176edf9df","indeed","https://de.indeed.com/viewjob?jk=1013a7a176edf9df","https://grnh.se/2g4xzwg61us","Fleet Performance Analyst","wolt","Berlin, BE, DE","2025-10-20","",False,"Transport And Freight","https://www.wolt.com"
"in-74c52446e5d2b7a3","indeed","https://de.indeed.com/viewjob?jk=74c52446e5d2b7a3","https://app.screenloop.com/careers/formelskin/job_posts/5174?tab=overview","Product Analyst (m/f/d)","FORMEL Skin","Berlin, BE, DE","2025-10-20","fulltime",True,"",""
"in-afcce0beec59b20d","indeed","https://de.indeed.com/viewjob?jk=afcce0beec59b20d","https://jobs.ashbyhq.com/n8n/0c78f102-f55d-449a-b202-05ca0a606cd9?utm_source=3ZqYBLJ41R","Head of Data","n8n","Berlin, BE, DE","2025-10-17","fulltime",True,"",""
"in-168d7bbc312b587a","indeed","https://de.indeed.com/viewjob?jk=168d7bbc312b587a","https://t.gohiring.com/h/580662e2f3992e21bcb197696ba0f3231c549a0ce6f3fdb35a975e422c4b072a?source=Indeed","Senior Data Analyst (m/f/d)","7NXT","Berlin-Kreuzberg, BE, DE","2025-10-17","fulltime",True,"",""
